Num Training Releases,% Training,% Defective In Training,% Defective In Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
1,0.9334905660377358,0.0025265285497726125,0.0425531914893617,RandomForest,None,None,0,0,135,6,NaN,0.0,0.5617283950617284,0.0
2,0.9485458612975392,0.005188679245283019,0.10434782608695652,RandomForest,None,None,0,0,103,12,NaN,0.0,0.616504854368932,0.0
3,0.9933333333333333,0.01029082774049217,0.13333333333333333,RandomForest,None,None,0,0,13,2,NaN,0.0,0.5961538461538461,0.0
4,0.843328335832084,0.011111111111111112,0.028708133971291867,RandomForest,None,None,0,0,406,12,NaN,0.0,0.6010878489326765,0.0
5,0.7500702839471465,0.013868065967016492,0.06974128233970754,RandomForest,None,None,0,0,827,62,NaN,0.0,0.6632503803097086,0.0
6,0.86188514659559,0.02783244307000281,0.08070175438596491,RandomForest,None,None,0,1,523,46,0.0,0.0,0.6405783272485894,-0.00344595100756678
7,0.9411630558722919,0.03513448025199903,0.14728682170542637,RandomForest,None,None,0,0,220,38,NaN,0.0,0.6313995215311005,0.0
8,0.9216057166876839,0.04173318129988598,0.04825737265415549,RandomForest,None,None,0,0,355,18,NaN,0.0,0.6552425665101721,0.0
9,0.9806265457543281,0.04224464060529634,0.010638297872340425,RandomForest,None,None,0,0,93,1,NaN,0.0,0.8440860215053764,0.0
10,0.9849776695087292,0.0416323165704864,0.04054054054054054,RandomForest,None,None,0,0,71,3,NaN,0.0,0.6244131455399061,0.0
11,0.9696850393700788,0.0416159155501421,0.01948051948051948,RandomForest,None,None,0,0,151,3,NaN,0.0,0.4966887417218543,0.0
12,0.9881346041626142,0.04094488188976378,0.01639344262295082,RandomForest,None,None,0,0,60,1,NaN,0.0,0.8583333333333333,0.0
13,0.9152572547623287,0.04065356934448551,0.06932773109243698,RandomForest,None,None,0,0,443,33,NaN,0.0,0.7306929338532048,0.0
14,0.8959961716382198,0.043083496528395944,0.09049079754601227,RandomForest,None,None,0,1,592,59,0.0,0.0,0.7685140194929545,-0.003025485872519448
15,0.932748102960869,0.048014037326527356,0.008849557522123894,RandomForest,None,None,0,0,448,4,NaN,0.0,0.6841517857142857,0.0
16,0.9942307692307693,0.04538015176313049,0.07692307692307693,RandomForest,None,None,0,0,36,3,NaN,0.0,0.7314814814814815,0.0
17,0.9164859002169198,0.045562130177514794,0.06818181818181818,RandomForest,None,None,1,2,572,41,0.3333333333333333,0.023809523809523808,0.6551767048282727,0.03567787971457743
18,0.9555641922528825,0.047451193058568326,0.05830903790087463,RandomForest,None,None,1,0,323,19,1.0,0.05,0.6998452012383901,0.09018567639257401
19,0.9775835866261399,0.04793367016452908,0.14124293785310735,RandomForest,None,None,0,0,152,25,NaN,0.0,0.6502631578947369,0.0
20,0.977953926182809,0.05002532928064843,0.0449438202247191,RandomForest,None,None,0,2,168,8,0.0,0.0,0.5610294117647059,-0.01830663615560725
21,0.8677055346587856,0.049913301956898685,0.0016246953696181965,RandomForest,None,None,1,3,1226,1,0.25,0.5,0.9936940602115542,0.3318860244233461
22,0.8755175009409109,0.043524986566362174,0.008314436885865457,RandomForest,None,None,0,1,1311,11,0.0,0.0,0.7474708980044346,-0.0013876624195798568
23,0.9124313186813187,0.03914188934888972,0.025490196078431372,RandomForest,None,None,0,1,993,26,0.0,0.0,0.6211499767837796,-0.0018917345750896308
24,0.9175988656057981,0.03794642857142857,0.018164435946462717,RandomForest,None,None,0,10,1017,19,0.0,0.0,0.7097319735560909,-0.012686118715363055
25,0.897419582891481,0.036316369938553646,0.021364576154376293,RandomForest,None,None,0,1,1419,31,0.0,0.0,0.7162199000454339,-0.0013370713823563196
26,0.9118158963450009,0.034782608695652174,0.021929824561403508,RandomForest,None,None,1,1,1337,29,0.5,0.03333333333333333,0.7568634778276034,0.05992303463441669
27,0.9795415798446675,0.03364919744730226,0.006172839506172839,RandomForest,None,None,0,1,321,2,0.0,0.0,0.6925465838509317,-0.004132231404959872
28,0.9210235533585345,0.033087074572204334,0.0390279823269514,RandomForest,None,None,1,1,1304,52,0.5,0.018867924528301886,0.6891925106629075,0.033620666505545675
29,0.9234197948552709,0.033556266356498984,0.016129032258064516,RandomForest,None,None,1,0,1403,22,1.0,0.043478260869565216,0.7776503765223589,0.0820995962314983
30,0.9671237145528202,0.03222168519413565,0.14533965244865718,RandomForest,None,None,0,0,541,92,NaN,0.0,0.7147291649923652,0.0
31,0.9591033623910337,0.03594058377480004,0.0048721071863581,RandomForest,None,None,0,1,816,4,0.0,0.0,0.7019583843329253,-0.0019526482792427608
32,0.993221848406887,0.03466998754669987,0.014598540145985401,RandomForest,None,None,0,0,135,2,NaN,0.0,0.3537037037037037,0.0
