Release Index,File,LOC,LOC Thouched,LOC Added,MAX LOC Added,Num Revisions,Num Authors,Churn,MAX Churn,ChgSet Size,Max ChgSetSize,Buggy,Num Bugs
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/xml/sax/DelegatingContentHandler.html,517,1172,586,586,1,1,586,586,241,241,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/xml/sax/DraconianErrorHandler.html,278,638,319,319,1,1,319,319,241,241,No,0
1,daffodil/bin/daffodil/processors/ProcessorFactory$$anonfun$getBeforeProcessor$2.class,13,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/bin/daffodil/arguments/ArgumentParser$$anonfun$parse$1.class,11,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/validate/Schema.html,217,496,248,248,1,1,248,248,241,241,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/lib/xhtml/modules/base.rng,19,46,23,23,1,1,23,23,241,241,No,0
1,daffodil/sub-projects/core/src/daffodil/schema/Sequence.scala,202,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/processors/Success.class,20,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/src/xsd/AM.dfdl.xml,197,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/lib/xhtml/xhtml.rng,36,78,39,39,1,1,39,39,241,241,No,0
1,daffodil/sub-projects/core/src/daffodil/schema/annotation/enumerations/TextNumberRep.scala,38,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/schema/BasicNodeImpl$$anonfun$apply$2.class,11,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/test/AW.dfdl.xsd,38,88,43,40,2,2,42,40,190,137,No,0
1,daffodil/sub-projects/core/src/daffodil/schema/Choice.scala,82,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/icons/wizard.png,8,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/validate/auto/RewindableInputStream.html,365,828,414,414,1,1,414,414,241,241,No,0
1,daffodil/sub-projects/core/.externalToolBuilders/daffodil build.xml [Builder].launch,16,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/exceptions/ElementProcessingException$.class,7,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/srcTest/daffodil/xml/test/unit/TestUnicodeXMLI18N.scala,77,220,102,94,2,2,94,94,61,53,No,0
1,daffodil/test-suite/ibm-contributed/dpaextent_04.dfdl.xsd,58,140,70,70,1,1,70,70,44,44,No,0
1,daffodil/sub-projects/core/src/daffodil/grammar/Primitives.scala,340,1024,467,210,7,4,422,190,163,53,No,0
1,daffodil/sub-projects/core/test/AD.xsd,35,148,0,0,2,2,-74,0,156,80,No,0
1,daffodil/sub-projects/core/src/daffodil/schema/ComplexType.scala,37,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/util/PropertyMap.html,262,600,300,300,1,1,300,300,241,241,No,0
1,daffodil/sub-projects/core/src/xsd/AR.dfdl.xml,28,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/lib/jdom-1.1.2.jar,1109,0,0,0,1,1,0,0,136,136,No,0
1,daffodil/src/daffodil/exceptions/DaffodilException.scala,99,4,1,1,1,1,0,0,136,136,No,0
1,daffodil/sub-projects/daffodil-lib/src/daffodil/util/IBMCopyright.scala,9,48,24,12,2,2,24,12,45,36,No,0
1,daffodil/test/AF.xsd,50,418,99,55,3,1,-11,55,148,136,No,0
1,daffodil/bin/daffodil/parser/RollbackStream.class,76,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/icons/broken-line.png,9,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/sub-projects/daffodil-lib/bin/daffodil/util/TestUtil.class,13,0,0,0,2,1,0,0,58,33,No,0
1,daffodil/sub-projects/daffodil-lib/bin/daffodil/exceptions/TestExceptions$$anonfun$testAssert$1.class,9,0,0,0,2,1,0,0,58,33,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/icons/flag-black.png,10,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/test/AB003.xml,20,48,12,12,1,1,0,0,136,136,No,0
1,daffodil/src/xsd/BD.dfdl.xml,19,48,23,22,2,1,22,22,75,42,No,0
1,daffodil/test-suite/ibm-contributed/dpaflsmbyfrm41.dfdl.xsd,35,78,39,39,1,1,39,39,44,44,No,0
1,daffodil/bin/daffodil/processors/ProcessorFactory$$anonfun$17.class,10,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/libsrc/junit-3.8.2-javadoc.jar,519,0,0,0,1,1,0,0,136,136,No,0
1,daffodil/sub-projects/core/TODO.txt,24,8,2,1,3,3,0,0,337,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/lib/xhtml/modules/script.rng,61,140,70,70,1,1,70,70,241,241,No,0
1,daffodil/sub-projects/core/test/AS.xsd,49,236,0,0,2,2,-118,0,156,80,No,0
1,daffodil/sub-projects/core/src/daffodil/schema/annotation/enumerations/ByteOrder.scala,37,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/dfdl-property-code-generator/lib/scalatest-1.6.1.jar,21521,0,0,0,1,1,0,0,6,6,No,0
1,daffodil/sub-projects/core/src-unused/daffodil/xml/GRDDLUtil.scala,134,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/test-suite/ibm-contributed/dpaspc7132_2.dfdl.xsd,41,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/src/xsd/AH.dfdl.xml,41,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/daffodil-lib/bin/daffodil/exceptions/DFDLException.class,13,0,0,0,2,1,0,0,58,33,No,0
1,daffodil/bin/daffodil/debugger/DebuggingListener.class,13,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/srcTest/daffodil/parser/test/unit/AnnotationParserTest.scala,118,330,90,90,1,1,15,15,16,16,No,0
1,daffodil/src-unused/daffodil/xml/CompressedList.scala,59,0,0,0,1,1,0,0,136,136,No,0
1,daffodil/sub-projects/daffodil-lib/src/xsd/examples-of-dfdl-schema-validation-errors.dfdl.xml,4,8,4,4,1,1,4,4,14,14,No,0
1,daffodil/bin/daffodil/processors/input/text/TextProcessor$$anonfun$maxI$1.class,12,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/src/xsd/AW.dfdl.xml,36,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/hide.png,6,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/sub-projects/daffodil-lib/bin/daffodil/exceptions/TestExceptions$$anonfun$testAssert$1$$anonfun$apply$1.class,6,0,0,0,2,1,0,0,58,33,No,0
1,daffodil/sub-projects/daffodil-lib/srcTest/daffodil/exceptions/TestExceptions.scala,12,38,19,19,1,1,19,19,33,33,No,0
1,daffodil/sub-projects/core/doc/DFDL-Schema-Object-Model/exports/AnnotatedClasses.png,233,0,0,0,2,2,0,0,308,300,No,0
1,daffodil/src/daffodil/schema/BasicNode.scala,59,62,23,23,1,1,15,15,136,136,No,0
1,daffodil/sub-projects/daffodil-lib/srcTest/daffodil/util/TestXSDValidation.scala,222,112,56,28,2,2,56,28,45,36,No,0
1,daffodil/bin/daffodil/processors/InstantVariable.class,21,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/test/example-of-named-format-chaining-and-element-simpleType-property-combining.dfdl.xml,121,286,141,106,2,1,139,106,9,7,No,0
1,daffodil/sub-projects/core/src/xsd/BE.dfdl.xsd,23,54,0,0,3,2,-27,0,197,80,No,0
1,daffodil/sub-projects/core/srcTest/daffodil/util/TestUtils.scala,44,108,53,52,2,2,52,52,18,10,No,0
1,daffodil/sub-projects/core/doc/DFDL-Schema-Object-Model/exports/DFDLSchemaComponents.png,247,0,0,0,3,2,0,0,164,80,No,0
1,daffodil/sub-projects/core/src/daffodil/processors/input/binary/StringBinaryProcessor.scala,41,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/regex/com/thaiopensource/datatype/xsd/regex/package-summary.html,149,346,173,173,1,1,173,173,241,241,No,0
1,daffodil/bin/daffodil/processors/input/text/TextProcessor$$anonfun$13.class,13,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/test/AP000.xml,5,16,4,4,1,1,0,0,136,136,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/index.html,38,78,39,39,1,1,39,39,241,241,No,0
1,daffodil/test/AH000.xml,3,8,2,2,1,1,0,0,136,136,No,0
1,daffodil/sub-projects/core/src/daffodil/dsom/DsomCompiler.scala,25,1526,250,175,7,4,-263,44,750,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/datatype/org/relaxng/datatype/helpers/ParameterlessDatatypeBuilder.html,289,658,329,329,1,1,329,329,241,241,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/icons/stop.png,6,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/lib/derbytools.jar,1327,0,0,0,1,1,0,0,136,136,No,0
1,daffodil/sub-projects/core/test/AF000.xml,18,54,17,17,1,1,7,7,53,53,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/icons/kaddressbook.png,10,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/sub-projects/core/src/daffodil/schema/SimpleType.scala,32,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/WgTestCases.class,38,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/bin/daffodil/parser/regex/Regex$$anonfun$compile$1.class,18,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/bin/daffodil/processors/internal/DefineVariable.class,55,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/processors/input/text/TextProcessor$$anonfun$18.class,7,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/src/daffodil/processors/ScanResult.scala,48,8,2,2,1,1,0,0,136,136,No,0
1,daffodil/bin/daffodil/arguments/UnsetValue.class,24,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/bin/daffodil/processors/ProcessorFactory$$anonfun$12.class,8,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/daffodil-lib/bin/daffodil/exceptions/Assert$.class,29,0,0,0,2,1,0,0,58,33,No,0
1,daffodil/bin/daffodil/parser/regex/Regex$$anonfun$addAlternatives$4.class,11,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/.idea/encodings.xml,4,10,5,5,1,1,5,5,300,300,No,0
1,daffodil/sub-projects/core/lib/junit-3.8.2.jar,1117,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/build.number,3,6,0,0,2,2,-3,0,317,300,No,0
1,daffodil/bin/daffodil/processors/NothingFound$.class,17,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/icons/ksmiletris.png,10,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/sub-projects/core/doc/design-notes/exports/daffodil.html_files/icons/bookmark.png,9,0,0,0,1,1,0,0,137,137,No,0
1,daffodil/test/AT.xsd,105,312,79,51,2,1,2,8,57,42,No,0
1,daffodil/sub-projects/core/test-suite/ibm-contributed/dpanum_properties.dfdl.xsd,103,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/srcTest/daffodil/HowToUseJUnit.scala,63,162,81,81,1,1,81,81,16,16,No,0
1,daffodil/src/xsd/AY.dfdl.xml,38,88,43,42,2,1,42,42,75,42,No,0
1,daffodil/test-suite/ibm-contributed/alignment_bytes_12.dfdl.xsd,125,290,145,145,1,1,145,145,44,44,No,0
1,daffodil/sub-projects/core/src/daffodil/dsom/Groups.scala,353,1326,537,255,8,4,411,255,130,53,No,0
1,daffodil/sub-projects/core/examples/example2-simple text/shortSchema.dfdl.xsd,19,0,0,0,2,2,0,0,156,80,No,0
1,daffodil/sub-projects/core/test-suite/ibm-contributed/dpacalbin100_01.dfdl.xsd,38,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/MCL/GKS 2 2d Affine Trans,132,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/processors/xpath/NodeResult$.class,12,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/MCL/GKS 4 Animation,89,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/src/daffodil/exceptions/DFDLDisallowConstructException.scala,45,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/sub-projects/core/srcTest/daffodil/api/TestAPI1.scala,207,770,310,80,8,3,235,80,118,53,No,0
1,daffodil/sub-projects/core/doc/structure.eps,4697,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/processors/ProcessorFactory$$anonfun$8.class,11,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/bin/daffodil/processors/EndOfStreamFound$.class,12,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/validate/auto/SchemaReceiverFactory.html,245,562,281,281,1,1,281,281,241,241,No,0
1,daffodil/sub-projects/core/libsrc/jing-20081028/doc/api/jing/com/thaiopensource/validate/schematron/package-tree.html,134,308,154,154,1,1,154,154,241,241,No,0
1,daffodil/sub-projects/dfdl-property-code-generator/srcTest/daffodil/propGen/TestPropertyGenerator.scala,145,346,165,142,4,2,157,142,16,8,No,0
1,daffodil/sub-projects/core/srcTest/daffodil/HowToUseJUnit.scala,63,0,0,0,1,1,0,0,300,300,No,0
1,daffodil/bin/daffodil/processors/input/binary/StringBinaryProcessor.class,18,0,0,0,2,2,0,0,600,300,No,0
1,daffodil/sub-projects/core/srcTest/daffodil/grammar/TestPrimitives.scala,69,182,88,87,2,1,85,87,33,23,No,0
1,daffodil/test/BA000.xml,20,76,19,19,1,1,0,0,136,136,No,0
1,daffodil/test/AX000.xml,16,60,15,15,1,1,0,0,136,136,No,0
1,daffodil/sub-projects/core/srcTest/xsd/example-of-most-dfdl-constructs.dfdl.xml,217,470,235,235,1,1,235,235,1,1,No,0
